Sample_ID,time_hr,testing_concentration-uM,compound,direction,compartment.name,Obs_conc,assay,assay.2,inhibitor
M1,0.25,1,Memantine,AtoB,Top,0.286217589,Static,Transwell,No
M2,0.25,1,Memantine,AtoB,Top,0.332710077,Static,Transwell,No
M3,0.25,1,Memantine,AtoB,Top,0.240935537,Static,Transwell,No
M4,0.25,10,Memantine,AtoB,Top,1.74842148,Static,Transwell,No
M5,0.25,10,Memantine,AtoB,Top,2.278294788,Static,Transwell,No
M6,0.25,10,Memantine,AtoB,Top,2.721302608,Static,Transwell,No
M7,0.25,1,Memantine,BtoA,Top,0.104424513,Static,Transwell,No
M8,0.25,1,Memantine,BtoA,Top,0.140839642,Static,Transwell,No
M9,0.25,1,Memantine,BtoA,Top,0.16550118,Static,Transwell,No
M10,0.25,10,Memantine,BtoA,Top,0.883253328,Static,Transwell,No
M11,0.25,10,Memantine,BtoA,Top,0.726268482,Static,Transwell,No
M12,0.25,10,Memantine,BtoA,Top,1.135137989,Static,Transwell,No
M13,2,1,Memantine,AtoB,Top,0.260259949,Static,Transwell,No
M14,2,1,Memantine,AtoB,Top,0.149078405,Static,Transwell,No
M15,2,1,Memantine,AtoB,Top,0.323396792,Static,Transwell,No
M16,2,10,Memantine,AtoB,Top,0.747990397,Static,Transwell,No
M17,2,10,Memantine,AtoB,Top,0.673516193,Static,Transwell,No
M18,2,10,Memantine,AtoB,Top,0.903856599,Static,Transwell,No
M19,2,1,Memantine,BtoA,Top,0.45568805,Static,Transwell,No
M20,2,1,Memantine,BtoA,Top,0.428226489,Static,Transwell,No
M21,2,1,Memantine,BtoA,Top,0.449284577,Static,Transwell,No
M22,2,10,Memantine,BtoA,Top,3.347798955,Static,Transwell,No
M23,2,10,Memantine,BtoA,Top,3.231325272,Static,Transwell,No
M24,2,10,Memantine,BtoA,Top,3.913836462,Static,Transwell,No
M49,0.25,1,Memantine,AtoB,Bottom,0.097479245,Static,Transwell,No
M50,0.25,1,Memantine,AtoB,Bottom,0.281544904,Static,Transwell,No
M51,0.25,1,Memantine,AtoB,Bottom,0.050015801,Static,Transwell,No
M52,0.25,10,Memantine,AtoB,Bottom,0.166645576,Static,Transwell,No
M53,0.25,10,Memantine,AtoB,Bottom,0.126221775,Static,Transwell,No
M54,0.25,10,Memantine,AtoB,Bottom,0.659303988,Static,Transwell,No
M55,0.25,1,Memantine,BtoA,Bottom,2.034649891,Static,Transwell,No
M56,0.25,1,Memantine,BtoA,Bottom,0.78273494,Static,Transwell,No
M57,0.25,1,Memantine,BtoA,Bottom,2.631807565,Static,Transwell,No
M58,0.25,10,Memantine,BtoA,Bottom,7.585227166,Static,Transwell,No
M59,0.25,10,Memantine,BtoA,Bottom,7.352332335,Static,Transwell,No
M60,0.25,10,Memantine,BtoA,Bottom,9.76752217,Static,Transwell,No
M61,2,1,Memantine,AtoB,Bottom,0.165059712,Static,Transwell,No
M62,2,1,Memantine,AtoB,Bottom,0.130241958,Static,Transwell,No
M63,2,1,Memantine,AtoB,Bottom,0.202017961,Static,Transwell,No
M64,2,10,Memantine,AtoB,Bottom,0.410220734,Static,Transwell,No
M65,2,10,Memantine,AtoB,Bottom,0.940315967,Static,Transwell,No
M66,2,10,Memantine,AtoB,Bottom,0.502523224,Static,Transwell,No
M67,2,1,Memantine,BtoA,Bottom,0.823321471,Static,Transwell,No
M68,2,1,Memantine,BtoA,Bottom,0.745446208,Static,Transwell,No
M69,2,1,Memantine,BtoA,Bottom,1.019594315,Static,Transwell,No
M70,2,10,Memantine,BtoA,Bottom,9.822803545,Static,Transwell,No
M71,2,10,Memantine,BtoA,Bottom,7.975844169,Static,Transwell,No
M72,2,10,Memantine,BtoA,Bottom,8.610246056,Static,Transwell,No
M97,0.25,1,Memantine,AtoB,Lysate,0.081911837,Static,Transwell,No
M98,0.25,1,Memantine,AtoB,Lysate,0.165562214,Static,Transwell,No
