Sample_ID,time_hr,testing_concentration-uM,compound,direction,compartment.name,Obs_conc,assay,assay.2,inhibitor
M1,0.25,1,Memantine,AtoB,Top,0.688523423,Static,Transwell,No
M2,0.25,1,Memantine,AtoB,Top,1.508010037,Static,Transwell,No
M3,0.25,1,Memantine,AtoB,Top,0.770534905,Static,Transwell,No
M4,0.25,10,Memantine,AtoB,Top,6.190325428,Static,Transwell,No
M5,0.25,10,Memantine,AtoB,Top,6.634992362,Static,Transwell,No
M6,0.25,10,Memantine,AtoB,Top,6.721900725,Static,Transwell,No
M7,0.25,1,Memantine,BtoA,Top,0.137100978,Static,Transwell,No
M8,0.25,1,Memantine,BtoA,Top,0.07581245,Static,Transwell,No
M9,0.25,1,Memantine,BtoA,Top,0.119634581,Static,Transwell,No
M10,0.25,10,Memantine,BtoA,Top,0.507659997,Static,Transwell,No
M11,0.25,10,Memantine,BtoA,Top,0.617982452,Static,Transwell,No
M12,0.25,10,Memantine,BtoA,Top,0.868506573,Static,Transwell,No
M13,2,1,Memantine,AtoB,Top,0.497757835,Static,Transwell,No
M14,2,1,Memantine,AtoB,Top,1.051393249,Static,Transwell,No
M15,2,1,Memantine,AtoB,Top,1.083892055,Static,Transwell,No
M16,2,10,Memantine,AtoB,Top,4.482414027,Static,Transwell,No
M17,2,10,Memantine,AtoB,Top,3.8634367,Static,Transwell,No
M18,2,10,Memantine,AtoB,Top,3.94926214,Static,Transwell,No
M19,2,1,Memantine,BtoA,Top,0.566922578,Static,Transwell,No
M20,2,1,Memantine,BtoA,Top,0.607394044,Static,Transwell,No
M21,2,1,Memantine,BtoA,Top,0.771530979,Static,Transwell,No
M22,2,10,Memantine,BtoA,Top,2.57700193,Static,Transwell,No
M23,2,10,Memantine,BtoA,Top,3.047856608,Static,Transwell,No
M24,2,10,Memantine,BtoA,Top,2.150568497,Static,Transwell,No
M49,0.25,1,Memantine,AtoB,Bottom,0.023486738,Static,Transwell,No
M50,0.25,1,Memantine,AtoB,Bottom,0.082822081,Static,Transwell,No
M51,0.25,1,Memantine,AtoB,Bottom,0.082937494,Static,Transwell,No
M52,0.25,10,Memantine,AtoB,Bottom,0.303554192,Static,Transwell,No
M53,0.25,10,Memantine,AtoB,Bottom,0.706849432,Static,Transwell,No
M54,0.25,10,Memantine,AtoB,Bottom,0.287602067,Static,Transwell,No
M55,0.25,1,Memantine,BtoA,Bottom,2.135188322,Static,Transwell,No
M56,0.25,1,Memantine,BtoA,Bottom,2.533994385,Static,Transwell,No
M57,0.25,1,Memantine,BtoA,Bottom,2.333588566,Static,Transwell,No
M58,0.25,10,Memantine,BtoA,Bottom,8.383834141,Static,Transwell,No
M59,0.25,10,Memantine,BtoA,Bottom,6.89488309,Static,Transwell,No
M60,0.25,10,Memantine,BtoA,Bottom,7.185770715,Static,Transwell,No
